STRUCTURE_NUMBER_008,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
0000000L2015318,35185702,101560762,1,5,1,N,N,N,6,7,7,6,N,5,7
000021521-00101,29362100,94272880,1,5,5,6,7,7,7,N,7,6,N,5,7
000021521-00181,29362940,94254920,1,5,5,7,7,7,7,N,7,6,N,5,7
000021521-TMP20,29365160,94324020,1,5,5,7,7,7,7,N,7,6,N,5,7
000021525-00012,29413300,94044860,1,5,7,6,7,4,7,N,4,4,N,5,7
000021525-00014,29412100,94092940,1,5,1,N,N,N,7,7,7,5,N,5,7
000021580-00092,33432100,96464020,1,5,5,7,8,8,7,N,8,5,N,5,7
000021580-00093,33442400,96453360,5,5,5,8,8,8,7,N,8,6,N,5,7
000021594-62598,32393300,94085760,1,5,7,7,7,7,7,N,6,6,N,5,8
000021594-62610,32404980,94084500,1,5,5,8,8,8,7,N,8,6,N,5,8
000021594-68091,32404740,94081380,1,5,4,7,5,3,6,N,2,7,N,0,7
000021594-68093,32405640,94080600,1,5,4,7,6,3,6,N,2,5,N,1,7
000021594-68096,32404140,94083420,1,5,4,6,5,3,7,N,3,7,N,0,7
000021594-TMP06,32400900,94082640,1,5,7,5,5,4,6,N,2,6,N,1,7
000021594-TMP07,32395040,94073480,1,5,7,5,6,6,6,N,6,6,N,5,7
000021594-TMP08,32394920,94073180,1,5,7,7,6,5,7,N,5,6,N,5,7
000021594-TMP09,32394740,94072760,1,5,7,6,6,6,7,N,6,6,N,5,7
1.00E+13,30305851,95042675,1,5,1,8,8,9,8,N,7,6,N,5,8
1.06E+13,33184173,95492402,1,5,1,N,N,N,7,6,6,N,N,5,6
1.06E+13,33200659,95460114,1,5,1,N,N,N,6,7,6,N,N,5,6
1.06E+13,33214527,95432058,1,5,3,6,5,5,6,N,5,5,N,5,6
1.06E+13,33225759,95413327,1,5,1,N,N,N,6,6,6,N,N,5,6
1.06E+13,33180290,95505329,1,5,5,7,7,7,7,N,7,7,N,5,9
1.06E+13,33180377,95505393,1,5,5,7,8,7,7,N,7,5,N,5,6
1.06E+13,33191236,95481270,1,5,5,7,7,7,7,N,7,9,N,5,9
1.06E+13,33191497,95480769,1,5,5,7,7,7,6,N,7,9,N,5,9
1.06E+13,33191634,95480436,1,5,5,7,7,6,6,N,6,9,N,5,9
1.06E+13,33205333,95444634,1,5,5,7,7,7,6,N,7,4,N,5,9
1.06E+13,33214615,95432047,1,5,5,8,8,7,7,N,7,5,N,5,8
1.06E+13,33180775,95504434,1,5,1,N,N,N,7,7,6,9,N,5,9
1.06E+13,33193625,95471835,1,5,1,N,N,N,7,7,6,9,N,5,9
1.06E+13,33230768,95410377,1,5,1,6,6,6,6,N,6,7,N,5,6
1.06E+13,33233855,95402089,1,5,1,6,6,5,6,N,5,7,N,5,6
1.06E+13,33253555,95374458,1,5,1,7,7,6,5,N,6,7,N,5,6
1.06E+13,33265693,95355895,1,5,1,6,6,6,6,N,6,9,N,5,6
1.06E+13,33265540,95355846,1,9,1,6,6,6,6,N,6,7,N,5,6
1.06E+13,33280048,95351805,1,9,1,6,6,6,8,N,6,7,N,5,6
1.06E+13,33230660,95410283,1,5,5,7,8,7,6,N,7,9,N,5,9
1.06E+13,33233660,95402122,1,5,5,7,8,7,6,N,7,6,N,5,9
1.06E+13,33245162,95383942,1,5,5,7,8,7,6,N,7,6,N,5,9
1.06E+13,33245287,95384067,1,5,5,7,8,7,7,N,7,9,N,5,9
1.06E+13,33253385,95374428,1,5,5,7,7,7,5,N,7,6,N,5,9
1.06E+13,33280066,95351734,1,5,5,7,8,8,8,N,8,7,N,5,8
1.06E+13,33244755,95502255,1,5,1,7,7,6,6,N,6,4,N,5,7
1.06E+13,33224077,95470955,1,5,1,N,N,N,6,5,5,5,N,5,6
1.06E+13,33224016,95461062,1,5,1,7,7,7,6,N,7,4,N,5,6
1.06E+13,33222100,95460700,1,5,1,N,N,N,6,6,6,6,N,5,6
1.06E+13,33223944,95435891,1,5,1,7,6,5,6,N,5,4,N,5,6
1.06E+13,33223938,95435157,1,9,1,N,N,N,7,7,6,6,N,5,6
1.06E+13,33212666,95354405,1,9,2,7,6,5,7,N,5,6,N,5,6
1.06E+13,33211749,95353899,1,5,5,8,6,6,6,N,6,6,N,5,6
1.06E+13,33220879,95392465,1,9,1,N,N,N,7,7,6,9,N,5,6
1.06E+13,33220552,95391134,1,5,5,7,7,7,6,N,7,9,N,5,6
1.06E+13,33220136,95383512,1,5,1,N,N,N,6,6,6,9,N,5,6
1.06E+13,33220005,95363106,1,5,1,N,N,N,5,5,5,N,N,5,6
1.06E+13,33231921,95362934,1,5,5,7,8,8,8,N,8,6,N,5,9
1.06E+13,33271263,95421834,1,5,1,N,N,N,6,7,6,9,N,5,7
1.06E+13,33260314,95411391,1,5,1,7,7,7,8,N,6,5,N,5,7
1.06E+13,33264262,95415658,1,5,1,N,N,N,7,6,6,8,N,5,7
1.06E+13,33250569,95411748,1,5,1,7,7,6,6,N,6,4,N,5,7
1.06E+13,33291135,95462720,1,5,4,7,6,5,4,N,5,5,N,4,6
1.06E+13,33225905,95462807,1,5,1,N,N,N,8,6,6,6,N,5,8
1.06E+13,33260127,95395646,1,5,1,7,7,6,7,N,6,4,N,5,7
1.06E+13,33260033,95393558,1,5,1,7,7,6,6,N,6,4,N,5,7
1.06E+13,33270792,95363475,1,5,5,8,7,7,6,N,7,6,N,5,8
1.06E+13,33270166,95354413,1,5,1,N,N,N,5,7,6,N,N,5,7
1.06E+13,33204076,95483869,1,5,1,6,6,5,5,N,5,4,N,5,7
1.06E+13,33204034,95482990,1,9,1,N,N,N,7,6,6,6,N,5,4
1.06E+13,33203954,95481551,1,5,1,N,N,N,7,7,6,6,N,5,4
1.06E+13,33204056,95500301,1,5,1,7,7,5,5,N,5,4,N,5,7
1.06E+13,33241528,95304395,1,5,1,N,N,N,7,6,6,3,N,5,6
1.06E+13,33242347,95304294,1,5,5,8,7,6,6,N,6,6,N,5,9
1.06E+13,33234936,95353074,1,5,5,8,7,7,7,N,7,6,N,5,9
1.06E+13,33233866,95343441,1,5,5,7,8,6,6,N,6,6,N,5,9
1.06E+13,33221753,95513169,1,5,5,7,7,7,6,N,7,5,N,5,6
1.06E+13,33193308,95513675,1,5,5,7,7,6,4,N,6,6,N,5,9
1.06E+13,33244019,95513060,1,5,1,N,N,N,7,7,6,N,N,5,6
1.06E+13,33245766,95513012,1,5,1,N,N,N,6,6,6,N,N,5,6
1.06E+13,33223640,95493820,1,5,5,7,8,7,6,N,7,6,N,5,8
1.06E+13,33211112,95422511,1,5,5,7,7,7,7,N,7,7,N,5,7
1.06E+13,33195176,95450918,1,5,5,7,7,7,8,N,7,9,N,5,7
1.06E+13,33215044,95412005,1,5,1,N,N,N,6,6,6,6,N,5,7
1.06E+13,33223139,95393454,1,5,1,7,6,7,6,N,6,4,N,5,7
1.06E+13,33225632,95390712,1,5,1,N,N,N,7,7,6,4,N,5,7
1.06E+13,33225781,95373269,1,5,1,N,N,N,7,7,6,3,N,5,7
1.06E+13,33245515,95452270,1,5,5,8,7,7,7,N,7,7,N,5,7
1.06E+13,33284026,95411178,1,5,5,7,7,7,5,N,7,6,N,5,7
1.06E+13,33183302,95490895,1,5,1,N,N,N,6,6,6,7,N,5,7
1.06E+13,33165963,95492668,1,5,1,8,7,6,4,N,6,5,N,5,4
1.06E+13,33252639,95392495,1,5,1,N,N,N,5,6,6,N,N,5,7
010600AA0101002,33291014,95471766,1,5,7,7,6,5,8,N,4,8,N,0,4
010600AA0105001,33235779,95444802,1,5,3,7,6,7,5,N,6,5,N,5,5
010600AA0106001,33245646,95472125,1,5,1,N,N,N,6,7,7,5,N,5,7
010600AA0106002,33245654,95474479,1,5,2,8,8,7,7,N,7,5,N,5,7
010600AA0110001,33261592,95490621,1,5,1,N,N,N,7,7,7,5,N,5,7
010600AA0112001,33231049,95491472,1,5,3,7,7,7,7,N,7,5,N,5,7
010600AA0128001,33200687,95492991,1,5,3,6,6,6,6,N,6,4,N,5,4
010600AA0129001,33191372,95512363,1,5,5,7,8,7,6,N,7,5,N,5,6
010600AA0138001,33195080,95454548,1,5,5,7,8,8,7,N,8,5,N,5,5
010600AA0156002,33223221,95465895,1,5,5,8,8,7,8,N,7,5,N,5,7
010600AA0168001,33253397,95412779,1,5,1,7,7,7,6,N,7,5,N,5,9
