STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
48,022200ZT8001012,1,5,1,0.0,0,2,439,27000,'Trib Walker Branch',,'Trinity Blvd','2.80 M E of IH 820',99.99,4.506,0.0,,,32.80215277777778,-97.16536111111111,2.0,3.0,4.0,4.0,16.0,2016.0,4.0,0.0,14400.0,2020.0,0,16.8,0.0,0.0,0.0,1,1,1,1,5.0,0,0.0,0.0,A,1.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,16.9,9.1,25.0,1.8,0.0,16.9,19.5,99.99,N,0.0,N,99.9,0.0,7,7,7,8,N,0,32.7,0,24.5,6.0,5,N,5.0,6,8.0,,,0.0,322.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,1,0,0,0,3.0,0.0,,Y,5,20160.0,2040.0,,N,48.0,G,7.0,487.5
48,022200ZT9710001,1,5,1,0.0,0,2,439,27000,'Drainage Ditch',,'Twin Pines Dr','0.25 MI NW OF TIMBERLAND',99.99,0.402,0.0,,,32.954569444444445,-97.28653055555556,2.0,3.0,4.0,4.0,19.0,2009.0,2.0,0.0,200.0,2020.0,0,8.5,0.0,0.0,0.0,0,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,4.0,0.0,8.6,2.4,10.7,1.2,1.2,0.0,0.0,99.99,N,0.0,N,99.9,0.0,N,N,N,6,7,0,32.7,0,24.5,6.0,N,N,5.0,9,8.0,,,0.0,222.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,N,N,N,N,1.0,0.0,,Y,8,450.0,2040.0,,N,48.0,G,7.0,90.95
48,022200ZV4465001,1,5,1,0.0,0,2,439,27000,'Drainage Ditch',,'Victory Ln','0.5 MI E OF INDEPENDENCE',99.99,0.75,0.0,,,32.9818,-97.24338055555556,2.0,3.0,4.0,4.0,19.0,1990.0,2.0,0.0,1500.0,2021.0,0,12.2,0.0,45.0,0.0,0,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,2.0,0.0,12.1,2.7,8.8,1.5,1.5,0.0,0.0,99.99,N,0.0,N,99.9,0.0,N,N,N,7,7,0,32.7,0,24.5,6.0,N,N,5.0,7,8.0,,,0.0,222.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,N,N,N,N,8.0,0.0,,Y,8,2200.0,2040.0,,N,48.0,G,7.0,107.36
48,022200ZW0180001,1,5,1,0.0,0,2,439,27000,'Trib Big Fossil Creek',,'Wagley Robertson','0.2 MI S OF BASKET WILLOW',99.99,0.32,0.0,,,32.93281111111111,-97.37471111111111,2.0,3.0,4.0,4.0,19.0,2017.0,4.0,0.0,1000.0,2021.0,A,17.1,2.0,34.0,0.0,0,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,3.0,0.0,8.5,2.7,12.2,1.3,1.5,0.0,0.0,99.99,N,0.0,N,99.9,0.0,N,N,N,7,7,C,54.4,C,32.7,7.0,N,N,5.0,9,8.0,,,0.0,222.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,N,N,N,N,0.0,0.0,,Y,8,4500.0,2040.0,,N,48.0,G,7.0,208.62
48,022200ZW1542001,1,5,1,0.0,0,2,439,27000,'Trib Clear Fk Trinity Ri',,'Watercourse Dr','0.40 MI NE of Bellaire Dr',99.99,0.644,0.0,,,32.69815555555555,-97.41574166666668,2.0,3.0,4.0,4.0,19.0,2018.0,2.0,0.0,288.0,2020.0,0,7.9,0.0,15.0,0.0,1,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,5.0,2.0,5.0,2.0,1.0,2.0,8.0,33.5,64.6,1.9,3.4,8.0,14.1,99.99,N,0.0,N,99.9,0.0,7,8,7,7,N,0,32.7,0,24.5,6.0,5,N,5.0,7,8.0,,,0.0,322.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,1,0,0,0,3.0,0.0,,Y,5,288.0,2040.0,,N,48.0,G,7.0,910.86
48,022200ZW1550001,1,5,1,0.0,0,2,439,27000,'Trib Marine Creek',,'Waterfowl Ln','0.05 MI N OF FALCONER WAY',99.99,0.076,0.0,,,32.863350000000004,-97.40403055555556,159.0,3.0,4.0,4.0,19.0,2021.0,2.0,0.0,150.0,2021.0,A,8.5,0.0,0.0,0.0,0,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,3.0,0.0,8.4,2.1,7.9,1.5,1.5,8.4,15.8,99.99,N,0.0,N,99.9,0.0,N,N,N,7,7,C,54.4,C,32.7,7.0,5,N,5.0,9,8.0,,,0.0,222.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,2,1,0,0,0.0,0.0,,Y,8,450.0,2040.0,,N,48.0,G,7.0,124.82
48,022200ZW1611001,1,5,1,0.0,0,2,439,27000,'Deer Creek',,'Water Lily Ln','0.30 MI E of S Hulen St',99.99,0.483,0.0,,,32.58730555555556,-97.39325555555556,3.0,3.0,4.0,4.0,19.0,2021.0,2.0,0.0,288.0,2020.0,0,11.0,0.0,19.0,0.0,0,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,6.0,0.0,11.0,3.0,20.7,1.8,0.0,11.0,21.3,99.99,N,0.0,N,99.9,0.0,N,N,N,7,7,0,32.7,0,24.5,6.0,8,N,5.0,7,8.0,,,0.0,222.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,1,1,0,0,3.0,0.0,,Y,8,288.0,2040.0,,N,48.0,G,7.0,440.91
48,022200ZW4570005,1,5,1,0.0,0,2,439,27000,'FWWRR Rupert Trinity Byp',,'White Settlement R','0.2 Mi W of SH 199',99.99,0.322,0.0,,,32.75898055555555,-97.3489,2.0,3.0,4.0,4.0,16.0,2016.0,4.0,2.0,14000.0,2022.0,A,14.6,0.0,13.0,0.0,1,N,1,1,5.0,0,0.0,0.0,A,5.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,17.7,69.8,289.3,2.6,2.6,17.7,24.9,99.99,H,5.82,H,0.8,0.0,7,8,8,7,N,C,54.4,C,32.7,8.0,5,3,5.0,9,8.0,,,0.0,322.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,1.0,0.0,0.0,1,1,8,1,0.0,0.0,,Y,6,16400.0,2043.0,,N,48.0,G,7.0,7203.57
48,022200ZW9455001,1,5,1,0.0,0,2,439,27000,'Henrietta Creek',,'Wysong Dr','0.05 MI S OF PINE VALLEY',99.99,0.15,0.0,,,32.97391944444445,-97.39410000000001,2.0,3.0,4.0,4.0,19.0,2021.0,2.0,0.0,500.0,2021.0,A,8.5,0.0,23.0,0.0,0,0,0,0,5.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,5.0,0.0,8.4,2.4,17.7,1.6,1.5,8.4,18.7,99.99,N,0.0,N,99.9,0.0,N,N,N,7,7,C,54.4,C,32.7,7.0,5,N,5.0,9,8.0,,,0.0,222.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,2,1,0,0,0.0,0.0,,Y,8,1500.0,2040.0,,N,48.0,G,7.0,330.99
48,022200ZZ3325001,1,5,1,0.0,0,2,439,27000,'Trib W Fk Trinity River',,'NW 20th St','0.50 MI NW of E Long Ave',99.99,0.805,0.0,,,32.79717222222222,-97.38905833333334,2.0,3.0,4.0,4.0,19.0,1960.0,2.0,0.0,288.0,2020.0,0,8.5,0.0,60.0,0.0,0,N,0,0,4.0,0,0.0,0.0,A,1.0,5.0,1.0,19.0,0.0,0.0,2.0,0.0,8.5,2.1,9.8,0.0,0.0,8.5,21.6,99.99,N,0.0,N,99.9,0.0,N,N,N,7,7,0,32.7,0,24.5,6.0,6,N,5.0,7,8.0,,,0.0,322.0,24.0,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0.0,N,2.0,,0.0,0.0,0.0,1,1,0,0,3.0,0.0,,Y,8,288.0,2040.0,,N,48.0,G,7.0,211.68
